People	Time1	Time2	Time3	Time4	Time5	Time6	Time7	Time8	Time9	Time10	Time11	Time12
P0073	6	2	8	1	9	9	NA	0	0	NA	NA	NA
P0379	7	6	5	3	9	2	8	8	1	NA	NA	NA
P0385	10	9	7	4	9	8	7	5	6	NA	NA	NA
P0009	7	8	6	0	9	8	6	8	6	0	5	9
P0014	2	10	9	4	9	3	0	4	10	0	0	2
P0111	10	9	7	2	9	7	8	9	5	1	5	9
P0468	10	3	0	5	9	7	8	7	3	1	2	2
P0574	2	7	5	10	9	5	7	9	3	1	0	10
P0341	9	2	6	6	9	2	6	0	5	1	7	4
P0106	1	6	1	6	9	3	5	6	9	1	1	10
P0283	8	8	4	4	9	2	9	4	5	2	2	2
P0997	4	2	8	10	9	10	9	7	1	2	4	5
P0053	4	1	1	1	9	5	8	9	10	2	0	7
P0171	10	8	1	10	9	3	5	10	0	2	7	8
P0770	8	8	2	0	9	9	4	2	8	2	NA	NA
P0183	9	7	9	9	9	3	4	4	10	2	6	7
P0816	2	9	3	0	9	9	2	10	1	2	8	8
P0509	0	3	0	5	9	9	1	4	3	2	7	7
P0510	5	10	8	3	9	8	0	5	6	2	4	2
P0356	6	9	3	0	9	10	8	9	7	3	NA	NA
P0946	5	3	1	2	9	6	8	6	0	3	2	2
P0835	8	4	10	9	9	6	6	1	5	3	2	2
P0839	2	1	3	8	9	10	5	0	5	3	6	6
P0392	4	4	4	10	9	9	5	8	9	3	2	9
P0423	6	1	6	2	9	8	3	9	1	3	4	10
P0333	8	5	3	8	9	9	3	7	10	3	9	5
P0271	0	0	8	5	9	NA	8	10	9	4	0	3
P0400	10	3	8	2	9	6	7	6	2	4	6	1
P0465	2	4	7	3	9	10	7	2	3	4	10	7
P0775	8	6	6	8	9	4	6	7	5	4	4	3
P0375	1	10	9	4	9	6	5	5	8	4	7	0
P0116	5	4	2	6	9	8	4	7	1	4	7	4
P0484	10	7	7	9	9	2	4	7	6	4	4	8
P0594	3	4	7	7	9	8	9	10	10	5	2	5
P0849	5	1	6	4	9	10	8	10	2	5	8	7
P0610	1	10	6	8	9	0	6	9	4	5	7	10
P0346	8	0	1	2	9	8	5	5	5	5	4	7
P0961	5	4	3	0	9	9	3	9	0	5	4	1
P0915	7	3	10	1	9	2	2	5	10	5	3	1
P0753	4	8	1	3	9	2	0	5	1	5	5	1
P0802	9	7	1	8	9	7	0	1	8	5	1	4
P0950	1	5	10	2	9	6	7	4	6	6	9	10
P0243	7	3	0	3	9	3	6	1	7	6	1	3
P0436	0	7	3	4	9	5	2	10	1	6	8	7
P0340	0	3	8	3	9	4	1	1	3	6	6	6
P0958	9	4	0	7	9	5	10	9	4	7	2	5
P0370	9	2	4	8	9	0	10	4	3	7	8	8
P0052	8	0	3	2	9	NA	9	5	2	7	0	3
P0246	3	2	3	5	9	10	7	6	8	7	6	7
P0623	6	6	10	9	9	0	5	6	9	7	9	3
P0204	0	6	5	1	9	5	4	10	5	7	6	6
P0601	6	0	3	1	9	5	4	10	4	7	6	0
P0273	3	10	6	6	9	9	4	7	4	7	8	3
P0157	5	7	5	9	9	1	3	7	1	7	5	8
P0389	8	7	6	9	9	7	0	4	8	7	2	10
P0675	0	10	6	3	9	2	9	0	1	8	4	2
P0464	6	7	7	10	9	1	9	7	5	8	4	8
P0765	10	9	6	7	9	10	6	6	3	8	6	10
P0119	6	6	4	9	9	6	4	7	10	8	2	1
P0355	4	4	9	7	9	6	3	3	4	8	4	0
P0277	9	6	3	4	9	6	10	8	0	9	1	6
P0179	3	9	1	8	9	0	9	0	10	9	6	4
P0043	6	2	4	4	9	2	7	7	1	9	8	2
P0221	4	3	8	4	9	8	7	5	0	9	1	3
P0541	8	5	9	10	9	3	7	3	0	9	4	4
P0523	3	5	5	0	9	9	6	10	4	9	7	0
P0190	4	6	5	10	9	7	5	1	4	9	7	7
P0828	9	8	8	8	9	8	3	5	9	9	6	8
P0440	4	3	1	0	9	4	2	4	5	9	1	4
P0282	7	7	10	4	9	6	8	3	7	10	10	10
P0787	0	3	4	5	9	7	8	10	1	10	3	1
P0925	7	9	3	0	9	9	7	4	0	10	4	9
P0687	6	4	7	1	9	0	7	2	9	10	0	4
P0380	6	7	8	4	9	6	4	10	4	10	8	0
P0185	8	3	2	7	9	1	4	0	7	10	2	9
P0543	7	2	1	10	9	3	4	6	6	10	5	3
P0804	0	10	7	6	9	2	3	2	3	10	0	3
P0161	8	7	2	4	9	3	2	10	10	10	4	6
P0688	1	9	0	5	9	1	0	7	4	10	3	4
P0082	6	6	5	8	9	9	0	0	9	10	8	5
P0035	7	3	1	0	9	2	0	7	NA	NA	NA	NA
P0827	7	1	6	1	9	1	0	2	8	NA	NA	NA
P0800	0	3	6	2	9	9	0	0	9	NA	NA	NA
P0286	6	0	8	9	9	6	0	2	9	NA	NA	NA
P0938	6	5	1	9	9	0	0	4	8	NA	NA	NA
P0472	2	8	8	3	8	0	6	4	9	0	5	1
P0637	6	3	8	4	8	3	2	9	5	0	0	6
P0418	0	6	4	5	8	0	10	1	6	1	3	1
P0248	1	8	0	9	8	5	10	0	0	1	2	0
P0496	4	4	7	3	8	9	8	6	2	1	2	1
P0546	3	1	3	4	8	7	8	8	7	1	0	4
P0200	10	5	7	1	8	8	6	1	5	1	1	7
P0986	6	5	5	4	8	5	6	10	0	1	3	5
P0514	9	1	10	8	8	1	6	10	5	1	9	8
P0632	5	10	3	3	8	1	4	3	8	1	9	5
P0982	10	7	0	7	8	6	4	9	2	1	1	0
P0759	0	8	5	9	8	10	4	6	3	1	6	4
P0021	2	NA	7	8	8	NA	3	0	3	1	5	2
P0754	6	7	10	3	8	3	2	4	4	1	10	4
P0415	2	2	2	8	8	0	2	9	8	1	8	4
P0848	0	0	5	0	8	5	1	8	9	1	NA	NA
P0364	3	3	7	1	8	7	9	8	7	2	10	1
P0417	8	8	1	1	8	3	9	1	0	2	4	10
P0031	10	5	1	3	8	7	8	8	8	2	9	6
P0590	8	0	7	5	8	4	8	6	10	2	2	0
P0391	7	3	8	8	8	5	6	9	2	2	10	5
P0567	1	9	5	2	8	4	4	2	3	2	9	8
P0071	6	8	0	8	8	6	3	7	9	2	1	4
P0931	6	6	5	2	8	10	0	7	6	2	7	1
P0670	3	1	4	8	8	6	9	6	0	3	5	4
P0912	0	3	0	4	8	10	7	8	7	3	1	4
P0164	3	NA	8	6	8	NA	7	2	0	3	4	0
P0684	0	2	7	9	8	8	7	3	5	3	3	6
P0826	7	7	7	10	8	8	7	0	4	3	4	3
P0218	1	5	9	0	8	7	6	9	10	3	2	7
P0744	6	1	4	0	8	3	6	6	5	3	0	9
P0225	2	2	0	7	8	7	4	0	4	3	4	3
P0698	5	1	1	8	8	4	2	8	5	3	6	10
P0786	3	0	1	10	8	7	1	2	10	3	5	7
P0662	7	1	9	0	8	8	9	0	7	4	NA	NA
P0929	9	1	2	6	8	3	8	3	2	4	9	7
P0989	7	7	1	8	8	2	7	3	0	4	4	5
P0842	2	6	8	2	8	3	6	7	1	4	5	6
P0136	9	1	3	10	8	9	5	1	2	4	1	4
P0730	6	8	9	7	8	7	4	2	2	4	3	5
P0605	7	6	2	4	8	0	3	4	1	4	4	3
P0933	3	8	9	8	8	1	10	8	9	5	8	5
P0664	8	2	7	3	8	8	9	1	4	5	3	6
P0324	3	10	1	6	8	7	8	3	9	5	9	3
P0393	2	9	9	2	8	8	6	10	2	5	0	8
P0776	7	5	1	9	8	10	6	9	2	5	7	4
P0335	10	1	3	2	8	2	2	3	0	5	1	8
P0723	1	6	1	10	8	4	10	6	6	6	10	8
P0296	8	9	0	10	8	10	9	7	0	6	4	4
P0269	2	4	4	4	8	10	8	7	10	6	3	2
P0779	1	7	7	2	8	9	7	7	8	6	6	9
P0741	2	7	1	7	8	8	6	8	9	6	3	6
P0497	3	3	0	1	8	4	3	1	8	6	10	9
P0726	7	5	5	6	8	6	1	2	4	6	0	0
P0547	0	3	7	8	8	3	9	5	8	7	2	0
P0212	3	10	0	3	8	0	8	1	2	7	6	10
P0022	4	6	5	8	8	2	5	0	3	7	8	0
P0233	2	3	3	1	8	6	2	1	6	7	7	7
P0544	0	8	3	9	8	9	2	5	9	7	6	9
P0583	6	9	6	9	8	0	0	7	2	7	9	1
P0337	6	7	3	2	8	6	10	3	5	8	6	8
P0174	3	0	2	4	8	NA	9	10	0	8	0	8
P0151	0	2	1	4	8	4	8	8	0	8	2	3
P0973	8	2	2	6	8	9	8	7	7	8	2	6
P0481	8	5	3	7	8	5	6	8	1	8	1	10
P0338	3	7	10	10	8	2	6	3	8	8	9	7
P0278	7	0	5	0	8	NA	3	2	2	8	1	3
P0287	3	5	5	2	8	4	3	4	4	8	1	7
P0002	3	9	6	2	8	6	2	8	6	8	6	9
P0550	5	4	7	6	8	8	1	2	3	8	1	10
P0038	2	4	10	1	8	8	10	7	7	9	9	NA
P0365	3	1	8	2	8	0	10	7	1	9	5	6
P0928	3	6	0	3	8	5	9	9	4	9	2	2
P0004	1	6	3	8	8	2	9	5	3	9	2	7
P0592	10	1	0	0	8	0	8	8	8	9	NA	NA
P0270	3	8	2	0	8	0	8	4	7	9	NA	NA
P0089	8	1	9	5	8	3	4	0	7	9	0	3
P0435	4	2	9	2	8	1	3	7	10	9	1	1
P0329	2	7	7	2	8	6	3	1	9	9	0	6
P0865	8	2	3	6	8	10	2	1	9	9	0	10
P0351	7	1	8	1	8	10	1	8	3	9	1	6
P0406	0	9	5	2	8	3	9	4	10	10	1	4
P0663	10	5	0	7	8	6	9	0	1	10	3	7
P0312	9	9	5	9	8	9	8	6	7	10	7	8
P0168	0	8	8	8	8	10	7	10	8	10	10	5
P0354	5	4	3	9	8	0	6	5	2	10	5	7
P0458	0	1	10	3	8	3	4	5	9	10	8	6
P0676	0	4	5	8	8	7	4	9	8	10	4	2
P0350	3	7	9	8	8	2	2	3	1	10	6	7
P0593	7	2	10	8	8	4	1	NA	NA	10	1	5
P0869	3	0	9	1	8	5	10	7	5	NA	3	NA
P0575	9	1	10	2	8	1	0	6	8	NA	NA	NA
P0530	9	3	NA	3	8	9	0	7	10	NA	NA	NA
P0645	9	1	4	3	8	4	0	10	4	NA	NA	NA
P0451	6	0	4	6	8	9	0	9	9	NA	NA	NA
P0219	8	3	1	7	8	5	0	2	5	NA	NA	NA
P0642	4	3	10	9	8	2	0	0	7	NA	NA	NA
P0867	6	3	8	10	8	7	0	2	10	NA	NA	NA
P0614	10	3	6	1	7	1	10	4	6	NA	NA	NA
P0977	8	9	7	5	7	0	5	1	1	0	1	2
P0554	7	6	2	1	7	7	3	9	0	0	10	0
P0966	0	4	9	3	7	6	9	5	0	1	9	7
P0748	4	8	8	5	7	1	9	10	0	1	7	6
P0165	5	5	5	1	7	6	8	5	6	1	0	0
P0010	3	3	1	6	7	3	6	2	6	1	9	4
P0363	4	1	1	6	7	1	4	0	3	1	8	3
P0163	7	5	8	9	7	7	3	7	5	1	1	3
P0996	1	9	6	6	7	9	0	0	6	1	0	2
P0772	3	6	9	8	7	6	10	7	4	2	5	5
P0371	9	9	5	5	7	6	8	2	6	2	7	6
P0985	6	9	8	7	7	6	8	9	9	2	1	8
P0042	6	9	3	1	7	4	7	1	7	2	7	5
P0591	1	9	7	6	7	1	6	8	5	2	8	6
P0926	1	5	3	7	7	3	5	9	4	2	1	0
P0090	1	4	8	2	7	5	4	3	8	2	6	8
P0115	6	10	10	10	7	5	4	2	1	2	2	6
P0578	3	5	0	1	7	6	2	2	7	2	7	1
P0607	10	1	8	NA	7	6	1	3	10	2	5	7
P0959	2	0	0	8	7	5	10	2	8	3	1	9
P0268	10	7	3	7	7	8	9	2	6	3	8	5
P0156	7	4	0	2	7	6	8	8	2	3	2	7
P0432	7	3	0	10	7	5	8	2	1	3	7	6
P0397	0	5	0	7	7	3	7	7	5	3	9	5
P0040	4	2	7	3	7	8	5	8	7	3	10	1
P0077	7	9	8	3	7	5	4	4	2	3	0	5
P0604	9	4	0	6	7	9	4	0	10	3	10	5
P0036	2	8	2	8	7	3	4	0	5	3	4	4
P0534	4	5	9	1	7	10	3	2	0	3	0	0
P0944	6	4	1	2	7	6	2	6	7	3	3	3
P0619	4	3	0	8	7	10	2	5	1	3	6	1
P0489	8	0	3	1	7	5	10	7	0	4	9	NA
P0078	9	6	7	2	7	7	9	5	7	4	1	10
P0285	7	0	8	8	7	1	8	4	8	4	10	8
P0446	3	1	2	7	7	8	7	7	4	4	6	9
P0048	3	3	9	7	7	2	2	3	6	4	0	8
P0832	10	3	2	6	7	0	1	9	2	4	4	1
P0656	7	10	8	2	7	8	10	0	5	5	1	1
P0062	4	1	2	2	7	0	9	4	10	5	5	5
P0209	8	4	10	4	7	6	9	4	5	5	0	0
P0304	3	9	0	6	7	7	8	5	7	5	10	4
P0222	2	10	7	7	7	0	7	5	8	5	4	7
P0659	7	7	5	1	7	1	6	6	2	5	10	9
P0952	10	10	3	6	7	2	4	9	7	5	7	2
P0809	8	2	7	1	7	9	2	10	4	5	4	6
P0943	4	9	4	9	7	0	9	10	5	6	1	5
P0699	7	9	5	9	7	9	8	9	5	6	3	8
P0987	10	7	2	10	7	6	8	4	5	6	4	6
P0845	10	10	5	2	7	4	6	0	1	6	0	0
P0201	8	5	2	4	7	2	6	5	10	6	3	6
P0112	9	3	5	4	7	5	6	10	9	6	0	7
P0196	4	7	5	2	7	5	4	4	7	6	4	7
P0412	2	8	5	7	7	10	4	3	8	6	5	9
P0407	1	0	1	10	7	1	3	6	1	6	9	1
P0767	7	7	0	4	7	5	1	3	3	6	2	10
P0099	3	1	3	7	7	1	10	6	7	7	9	0
P0930	0	3	7	9	7	9	10	5	8	7	4	2
P0678	4	5	5	7	7	0	4	7	9	7	5	5
P0067	1	9	8	3	7	6	3	3	8	7	6	3
P0580	5	3	0	5	7	8	3	3	0	7	5	10
P0588	1	5	6	4	7	3	2	8	8	7	5	3
P0962	9	9	7	1	7	2	1	1	1	7	0	8
P0854	10	2	10	0	7	4	9	6	1	8	6	5
P0068	5	4	7	2	7	0	9	5	2	8	5	4
P0960	4	4	10	5	7	9	9	10	1	8	4	7
P0145	0	8	4	1	7	10	6	9	9	8	10	3
P0691	4	10	9	0	7	3	4	10	6	8	0	8
P0667	10	9	5	3	7	8	4	1	9	8	7	3
P0980	0	6	0	7	7	9	4	0	2	8	10	6
P0084	10	8	5	1	7	10	3	5	0	8	2	0
P0487	1	0	3	4	7	7	3	5	7	8	1	5
P0526	7	6	4	3	7	7	2	8	7	8	7	8
P0871	2	0	10	8	7	5	1	6	4	8	8	1
P0536	8	5	8	7	7	9	NA	4	10	9	0	1
P0785	9	4	10	1	7	7	9	10	7	9	2	7
P0467	7	0	1	6	7	10	9	8	2	9	0	3
P0279	6	4	6	8	7	1	6	3	10	9	4	4
P0322	6	9	0	6	7	9	4	4	6	9	3	3
P0923	6	7	2	10	7	4	2	8	4	9	10	7
P0896	8	2	3	9	7	5	7	10	8	10	2	2
P0883	9	7	0	9	7	3	7	10	8	10	3	7
P0522	4	3	0	1	7	3	2	8	1	10	2	4
P0819	3	2	9	3	7	9	2	5	2	10	0	6
P0589	8	9	10	9	7	2	2	10	7	10	5	7
P0029	5	2	1	0	7	7	1	3	1	10	8	7
P0410	9	5	9	9	7	3	1	2	7	10	4	0
P0294	1	4	7	8	7	4	0	8	7	NA	NA	NA
P0167	7	1	7	9	7	0	0	7	3	NA	NA	NA
P0297	2	6	4	5	6	3	9	1	NA	NA	NA	NA
P0160	7	9	3	3	6	7	8	8	2	NA	NA	NA
P0922	1	6	3	7	6	1	7	3	5	NA	NA	NA
P0679	1	5	0	8	6	8	6	5	0	0	9	1
P0018	1	7	3	1	6	0	5	6	1	0	6	9
P0240	5	9	8	3	6	0	5	10	8	0	9	2
P0252	6	8	3	8	6	6	4	0	6	0	7	3
P0856	0	10	8	1	6	4	0	3	9	0	4	7
P0640	9	10	6	3	6	9	9	7	5	1	8	9
P0488	5	0	5	5	6	4	9	5	8	1	5	9
P0528	6	2	3	3	6	2	6	1	8	1	9	6
P1000	8	7	2	8	6	4	5	3	0	1	10	4
P0908	1	7	3	0	6	3	4	10	10	1	5	4
P0088	6	3	2	2	6	4	1	4	7	1	2	1
P0135	8	5	5	1	6	10	NA	5	10	2	6	7
P0566	8	7	0	2	6	9	6	5	10	2	10	5
P0769	7	1	9	7	6	4	6	10	8	2	1	5
P0039	0	0	7	7	6	NA	5	8	10	2	10	9
P0267	1	1	3	5	6	4	4	3	2	2	2	3
P0325	7	3	0	6	6	0	4	2	5	2	2	1
P0821	6	1	4	10	6	0	3	6	2	2	6	0
P0551	10	0	6	1	6	9	2	0	0	2	8	4
P0766	8	2	2	1	6	0	1	0	1	2	6	7
P0007	0	6	2	9	6	8	0	6	7	2	4	4
P0377	4	6	0	5	6	5	10	6	10	3	3	9
P0316	9	1	9	5	6	5	9	4	8	3	4	2
P0820	4	8	9	7	6	8	9	0	0	3	1	5
P0519	10	6	9	3	6	7	8	5	3	3	1	6
P0303	7	5	9	8	6	10	5	5	2	3	9	8
P0868	1	4	5	0	6	2	4	4	9	3	NA	NA
P0482	1	8	4	1	6	2	1	8	4	3	0	9
P0660	1	10	7	5	6	7	10	10	7	4	0	9
P0886	5	0	3	2	6	3	7	2	7	4	7	0
P0107	0	3	9	6	6	8	5	6	8	4	8	0
P0904	4	5	4	6	6	5	5	3	8	4	5	3
P0713	8	3	8	8	6	8	4	8	7	4	2	6
P0275	2	6	3	10	6	2	2	6	4	4	6	6
P0251	6	3	9	2	6	9	10	10	5	5	3	1
P0301	8	8	4	3	6	4	10	3	5	5	0	9
P0428	1	9	7	9	6	8	6	0	1	5	3	3
P0208	2	10	1	8	6	1	4	1	9	5	3	7
P0942	4	1	3	1	6	2	3	10	8	5	8	3
P0017	3	6	1	0	6	1	2	10	8	5	NA	NA
P0621	4	2	8	5	6	1	9	10	8	6	10	3
P0387	3	6	4	7	6	9	9	9	0	6	8	3
P0500	4	1	9	6	6	6	8	7	8	6	10	6
P0256	10	8	4	9	6	6	8	7	2	6	5	4
P0276	1	10	3	4	6	5	1	6	7	6	4	6
P0564	10	1	7	0	6	7	NA	1	8	7	NA	NA
P0008	9	7	3	0	6	2	10	2	0	7	3	NA
P0128	8	7	6	4	6	2	10	5	4	7	3	9
P0720	0	1	2	7	6	5	9	9	6	7	9	9
P0032	8	4	4	8	6	0	9	8	2	7	7	2
P0452	3	3	2	3	6	6	8	8	5	7	5	10
P0211	4	10	2	4	6	6	7	4	8	7	0	3
P0707	6	5	5	7	6	4	5	2	0	7	1	4
P0790	9	7	7	3	6	1	4	10	8	7	7	8
P0876	8	10	6	6	6	10	3	6	0	7	5	10
P0037	4	5	1	9	6	6	2	10	5	7	0	9
P0939	5	0	8	3	6	8	1	1	2	7	3	3
P0866	4	6	1	5	6	8	1	0	9	7	4	2
P0771	5	6	10	7	6	9	1	0	0	7	5	8
P0105	8	3	10	9	6	1	NA	6	10	8	10	7
P0894	10	9	8	5	6	5	7	8	4	8	5	0
P0236	0	5	8	8	6	6	6	0	9	8	1	10
P0298	4	7	7	4	6	9	4	10	8	8	4	4
P0113	7	6	0	9	6	4	4	9	9	8	9	1
P0782	5	5	6	6	6	5	2	8	2	8	4	10
P0560	7	3	3	9	6	10	10	2	2	9	4	3
P0969	6	6	7	5	6	9	8	8	10	9	8	10
P0573	3	1	8	5	6	7	7	0	8	9	5	7
P0598	0	9	6	9	6	0	6	9	6	9	5	4
P0184	2	8	3	9	6	5	6	10	4	9	7	9
P0631	5	1	5	2	6	3	5	10	5	9	4	9
P0072	6	0	3	1	6	NA	2	2	9	9	1	9
P0889	5	8	0	5	6	6	1	10	9	9	4	6
P0577	2	2	9	4	6	10	7	7	8	10	10	6
P0360	6	9	5	1	6	2	5	7	0	10	8	8
P0636	6	2	4	3	6	0	1	6	4	10	4	3
P0712	4	7	10	7	6	2	0	8	9	10	7	5
P0823	3	3	5	0	6	10	0	5	4	NA	NA	NA
P0460	6	1	9	3	6	3	0	9	7	NA	NA	NA
P0538	1	3	6	3	6	2	0	10	3	NA	NA	NA
P0903	1	1	9	5	6	7	0	5	2	NA	NA	NA
P0552	1	0	3	7	6	1	0	9	8	NA	NA	NA
P0998	5	3	9	8	6	5	0	6	3	NA	NA	NA
P0095	4	1	1	9	6	5	0	9	10	NA	NA	NA
P0501	0	2	7	NA	6	0	0	6	2	NA	NA	NA
P0892	3	5	10	7	5	0	7	10	0	NA	NA	NA
P0761	0	7	3	7	5	0	5	2	6	0	8	10
P0949	10	10	0	5	5	7	4	3	1	0	9	3
P0315	3	4	10	3	5	5	2	1	6	0	6	2
P0254	8	1	1	4	5	4	10	0	7	1	9	5
P0127	10	7	0	4	5	8	9	3	0	1	10	7
P0124	0	1	8	9	5	1	8	8	5	1	2	8
P0981	10	7	7	5	5	2	6	6	9	1	2	1
P0784	3	7	3	6	5	4	6	2	6	1	7	7
P0213	0	4	8	2	5	3	4	2	2	1	5	3
P0070	10	6	6	6	5	9	4	1	5	1	6	4
P0250	5	8	1	9	5	7	4	2	1	1	7	0
P0887	1	5	2	7	5	6	3	10	4	1	1	10
P0046	5	6	8	10	5	7	3	0	10	1	9	5
P0971	4	4	2	3	5	3	10	6	3	2	5	6
P0308	4	5	8	5	5	7	10	1	1	2	4	8
P0587	6	2	9	1	5	4	9	8	3	2	0	8
P0188	10	0	0	7	5	NA	7	1	5	2	5	8
P0258	7	5	8	5	5	9	6	7	5	2	10	1
P0060	4	8	0	5	5	4	0	7	1	2	7	10
P0309	3	5	7	0	5	10	10	3	9	3	NA	NA
P0993	5	4	8	4	5	7	5	1	0	3	0	9
P0806	9	9	6	6	5	1	3	7	9	3	3	10
P0586	6	2	1	9	5	6	10	5	0	4	8	2
P0558	3	10	7	4	5	6	9	0	7	4	0	5
